rank,team,full_strength_rating,performance_points,roster_coaching_points,availability_adjustment,current_lineup_rating,headline_view,headline_rating,as_of,validation_status,status_reason
1,NE,7.300535,47.323014,-40.022479,0.000000,7.300535,full_strength,7.300535,2026-07-21T12:00:00-04:00,EXPERIMENTAL,Historical HOLD: aggregate_improvement_ci_positive
2,LAR,6.953449,47.624852,-40.671403,0.000000,6.953449,full_strength,6.953449,2026-07-21T12:00:00-04:00,EXPERIMENTAL,Historical HOLD: aggregate_improvement_ci_positive
3,SEA,6.711384,47.720476,-41.009092,0.000000,6.711384,full_strength,6.711384,2026-07-21T12:00:00-04:00,EXPERIMENTAL,Historical HOLD: aggregate_improvement_ci_positive
4,JAX,6.581581,46.924048,-40.342467,0.000000,6.581581,full_strength,6.581581,2026-07-21T12:00:00-04:00,EXPERIMENTAL,Historical HOLD: aggregate_improvement_ci_positive
5,BUF,4.683638,45.873483,-41.189845,0.000000,4.683638,full_strength,4.683638,2026-07-21T12:00:00-04:00,EXPERIMENTAL,Historical HOLD: aggregate_improvement_ci_positive
6,BAL,4.492302,43.879660,-39.387358,0.000000,4.492302,full_strength,4.492302,2026-07-21T12:00:00-04:00,EXPERIMENTAL,Historical HOLD: aggregate_improvement_ci_positive
7,SF,4.434445,44.221323,-39.786878,0.000000,4.434445,full_strength,4.434445,2026-07-21T12:00:00-04:00,EXPERIMENTAL,Historical HOLD: aggregate_improvement_ci_positive
8,DEN,3.848036,44.809521,-40.961485,0.000000,3.848036,full_strength,3.848036,2026-07-21T12:00:00-04:00,EXPERIMENTAL,Historical HOLD: aggregate_improvement_ci_positive
9,PHI,3.683282,44.363658,-40.680376,0.000000,3.683282,full_strength,3.683282,2026-07-21T12:00:00-04:00,EXPERIMENTAL,Historical HOLD: aggregate_improvement_ci_positive
10,HOU,3.588164,44.756351,-41.168187,0.000000,3.588164,full_strength,3.588164,2026-07-21T12:00:00-04:00,EXPERIMENTAL,Historical HOLD: aggregate_improvement_ci_positive
11,DET,2.649966,42.679201,-40.029235,0.000000,2.649966,full_strength,2.649966,2026-07-21T12:00:00-04:00,EXPERIMENTAL,Historical HOLD: aggregate_improvement_ci_positive
12,PIT,2.479694,42.677264,-40.197570,0.000000,2.479694,full_strength,2.479694,2026-07-21T12:00:00-04:00,EXPERIMENTAL,Historical HOLD: aggregate_improvement_ci_positive
13,CHI,1.955876,44.206382,-42.250506,0.000000,1.955876,full_strength,1.955876,2026-07-21T12:00:00-04:00,EXPERIMENTAL,Historical HOLD: aggregate_improvement_ci_positive
14,LAC,1.920405,41.651277,-39.730872,0.000000,1.920405,full_strength,1.920405,2026-07-21T12:00:00-04:00,EXPERIMENTAL,Historical HOLD: aggregate_improvement_ci_positive
15,GB,1.341945,42.093351,-40.751406,0.000000,1.341945,full_strength,1.341945,2026-07-21T12:00:00-04:00,EXPERIMENTAL,Historical HOLD: aggregate_improvement_ci_positive
16,MIN,0.678773,41.298981,-40.620208,0.000000,0.678773,full_strength,0.678773,2026-07-21T12:00:00-04:00,EXPERIMENTAL,Historical HOLD: aggregate_improvement_ci_positive
